[Epoch 053] train_loss=-3.02683963 | score=0.94422123 | val_nll=-3.17483406 | val_acc=0.96262386 | val_dt_mae=1.76721330 | val_qty_mae=0.73050053 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 054] train_loss=-3.03621549 | score=0.94172902 | val_nll=-3.17577830 | val_acc=0.96012053 | val_dt_mae=1.76721330 | val_qty_mae=0.71938200 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 055] train_loss=-3.04504456 | score=0.94387776 | val_nll=-3.18900660 | val_acc=0.96225300 | val_dt_mae=1.76721330 | val_qty_mae=0.70310292 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 056] train_loss=-3.05349871 | score=0.94209221 | val_nll=-3.19626383 | val_acc=0.96047981 | val_dt_mae=1.76721330 | val_qty_mae=0.71546572 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 057] train_loss=-3.06182578 | score=0.94341029 | val_nll=-3.20471622 | val_acc=0.96176624 | val_dt_mae=1.76721330 | val_qty_mae=0.68381223 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 058] train_loss=-3.07073319 | score=0.94312073 | val_nll=-3.21066923 | val_acc=0.96144173 | val_dt_mae=1.76721330 | val_qty_mae=0.64886810 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 059] train_loss=-3.07711339 | score=0.94331427 | val_nll=-3.21737439 | val_acc=0.96169670 | val_dt_mae=1.76721330 | val_qty_mae=0.71029962 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 060] train_loss=-3.08539784 | score=0.94201967 | val_nll=-3.22096391 | val_acc=0.96041027 | val_dt_mae=1.76721330 | val_qty_mae=0.71846047 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 061] train_loss=-3.09185617 | score=0.94341310 | val_nll=-3.23538456 | val_acc=0.96181260 | val_dt_mae=1.76721330 | val_qty_mae=0.72736606 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 062] train_loss=-3.09960721 | score=0.94439489 | val_nll=-3.24289961 | val_acc=0.96278612 | val_dt_mae=1.76721330 | val_qty_mae=0.71909422 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
