dataset,scope_type,scope,prototype_id,event_count_per_seed,seed_use_fraction,selection_share_mean,selection_share_std,event_hit_share_mean,event_hit_share_std,rank1_share_mean,rank1_share_std,selected_similarity_mean_mean,selected_similarity_mean_std
insta_market_basket,quantity_region,body_le_p95,37,477507,0.6666666666666666,0.001967335906419522,0.0020221957796602414,0.007869343625678088,0.008088783118640966,0.0019280694663463922,0.0031973070503157727,0.2772787977870243,0.2419645314303296
insta_market_basket,quantity_region,body_le_p95,38,477507,0.6666666666666666,0.00019441250773985164,0.0003358259295518255,0.0007776500309594065,0.001343303718207302,0.0003273948514541846,0.000567064516855113,0.17948310862191416,0.25492159830687117
insta_market_basket,quantity_region,body_le_p95,39,477507,1.0,0.001407483729732409,0.0020251959714369613,0.005629934918929636,0.008100783885747845,0.0007218044272998442,0.0009007303053852384,0.3395269808861003,0.30838656439560563
insta_market_basket,quantity_region,body_le_p95,40,477507,1.0,0.003992437109124404,0.0067335992567235025,0.015969748436497615,0.02693439702689401,0.006687511038232598,0.011197232498490556,0.09437335172107365,0.2280541573675044
insta_market_basket,quantity_region,body_le_p95,41,477507,1.0,0.000019720478792282976,0.000025926865627001314,0.0000788819151691319,0.00010370746250800526,0.000026526661738292143,0.00004594552588591535,0.1791575325958811,0.10964842741496397
insta_market_basket,quantity_region,body_le_p95,42,477507,1.0,0.00002617762671541988,0.000029398302310471797,0.00010471050686167952,0.00011759320924188719,0.00001116912073191248,0.000015857103234927162,0.1740891905478792,0.03294260335734746
insta_market_basket,quantity_region,body_le_p95,43,477507,0.3333333333333333,0.00004746876311062805,0.00008221830948005904,0.0001898750524425122,0.00032887323792023617,0.000014659470960635131,0.000025390948515900584,0.08661797075696727,0.15002672619958257
insta_market_basket,quantity_region,body_le_p95,44,477507,0.6666666666666666,0.07998329518380533,0.1385337707879711,0.3199331807352213,0.5541350831518844,0.04006223992527858,0.06938983501559688,0.1712527672746599,0.2580021481903121
insta_market_basket,quantity_region,body_le_p95,45,477507,1.0,0.000041709685233235676,0.0000672807446276736,0.0001668387409329427,0.0002691229785106944,0.00001116912073191248,0.0000193454845835433,0.19893820544606763,0.20607787477595466
insta_market_basket,quantity_region,body_le_p95,46,477507,1.0,2.966797694414253e-6,1.2090927864714565e-6,0.000011867190777657012,4.836371145885826e-6,0.0,0.0,0.2095838447973605,0.1751450318774809
insta_market_basket,quantity_region,body_le_p95,47,477507,1.0,0.05983193265578655,0.10335583546887207,0.2393277306231462,0.4134233418754883,0.0010827066409497663,0.001806559423126465,0.33675399337994794,0.16693661019838998
insta_market_basket,quantity_region,body_le_p95,48,477507,1.0,0.00019598316534277685,0.00015347354134409257,0.0007839326613711074,0.0006138941653763703,0.0000858626156265772,0.00003084964170715034,0.050793180149131645,0.2213893574047991
insta_market_basket,quantity_region,body_le_p95,49,477507,1.0,0.07650742990853189,0.1325047807798394,0.30602971963412756,0.5300191231193576,0.08058450801070281,0.13957646217747846,0.09065189762643439,0.3237491176460131
insta_market_basket,quantity_region,body_le_p95,50,477507,0.3333333333333333,0.03941757223803351,0.06827323782729049,0.15767028895213403,0.27309295130916195,0.08921265377610521,0.15452084901826568,0.14950421681194592,0.25894889946408345
insta_market_basket,quantity_region,body_le_p95,51,477507,0.6666666666666666,1.39614009148906e-6,1.9821379043658953e-6,5.58456036595624e-6,7.928551617463581e-6,0.0,0.0,0.0008197226339862473,0.12015944345621771
insta_market_basket,quantity_region,body_le_p95,52,477507,1.0,0.022312761907155285,0.03857793844582738,0.08925104762862114,0.15431175378330952,0.011906980770264452,0.02061986848683107,0.14615835895574789,0.3235144405318647
insta_market_basket,quantity_region,body_le_p95,53,477507,0.6666666666666666,9.423945617551157e-6,0.00001207580474702025,0.00003769578247020463,0.000048303218988081,1.39614009148906e-6,2.418185572942913e-6,0.09896074870061551,0.2576380893579004
insta_market_basket,quantity_region,body_le_p95,54,477507,0.6666666666666666,0.0002863832362666935,0.00024832014465839134,0.001145532945066774,0.0009932805786335654,0.00035741186342119947,0.00039870006509869595,0.1640970756861823,0.1472149272653772
insta_market_basket,quantity_region,body_le_p95,55,477507,0.6666666666666666,0.00009197072852684184,0.0001498772197937282,0.00036788291410736737,0.0005995088791749128,0.000013961400914890603,0.00002418185572942913,0.14294194146947303,0.20677057440921526
insta_market_basket,quantity_region,body_le_p95,56,477507,1.0,0.08283718004832041,0.14325789673645795,0.33134872019328165,0.5730315869458318,0.2764252670641478,0.4785468504539145,0.22492218244797332,0.2329500723296252
insta_market_basket,quantity_region,body_le_p95,57,477507,0.6666666666666666,0.00010261629672444593,0.00009938814411681877,0.0004104651868977837,0.0003975525764672751,0.000115879627593592,0.00010515632263764676,0.08891872390078626,0.0829518015616282
