dataset,seed,scope_type,scope,event_count,memory_on_mae,memory_off_mae,mae_delta_on_minus_off,memory_on_mse,memory_off_mse,mse_delta_on_minus_off,memory_help_share,memory_harm_share,memory_tie_share,retrieval_applied_share,residual_nonzero_share,local_state_norm_mean,memory_residual_norm_mean,memory_residual_norm_p50,memory_residual_norm_p95,relative_residual_norm_mean,top1_similarity_mean,topk_similarity_mean,similarity_margin_mean,quantity_logit_residual_mean,quantity_logit_residual_abs_mean,log_location_shift_mean,prediction_shift_mean,prediction_shift_abs_mean,memory_on_rmse,memory_off_rmse,rmse_delta_on_minus_off,mae_delta_pct_vs_off
yellow_trip_hourly,52,quantity_region,body_le_p95,7888,25.27783366095494,23.277634248825105,2.0001994121298345,6846.275345931842,5710.744664204794,1135.5306822627072,0.4890973630831643,0.5109026369168357,0.0,1.0,1.0,11.920851463659782,0.2829259843754433,0.3150044083595276,0.4221445322036743,0.02557665433094253,0.5766499127425692,0.5226233311566103,0.054977763164599576,-0.03259224493779586,0.06444329377182317,-0.016285832684192408,4.445910617610927,4.691973695535266,82.742222268512,75.56946912745116,7.172753141060838,8.592795087115825
yellow_trip_hourly,52,quantity_region,extreme_tail_gt_p99,79,355.1788747280459,447.0955702383307,-91.91669551028481,217946.97505579115,312168.1438239375,-94221.16856828521,0.759493670886076,0.24050632911392406,0.0,1.0,1.0,26.589284220828286,0.2087019681930542,0.2087019681930542,0.2087019681930542,0.007853999881286032,0.7391244769096375,0.6333699452726147,0.10960531536536881,0.04536128789186478,0.04536128789186478,0.04534964621821536,182.83978812302215,182.83978812302215,466.84791426736734,558.7200943441514,-91.8721800767841,-20.55862362073668
yellow_trip_hourly,52,quantity_region,tail_p95_p99,301,329.0815502686358,308.5450228567535,20.53652741188227,201298.23743398165,179586.88467916698,21711.352764142313,0.45182724252491696,0.5481727574750831,0.0,1.0,1.0,24.205776094202186,0.2087019681930542,0.2087019681930542,0.2087019681930542,0.00863991788839086,0.7291642316552096,0.62580399319183,0.10759930911650294,0.04536128789186478,0.04536128789186478,0.045340297230058335,105.21043259123235,105.21043259123235,448.66272124390014,423.77692796938226,24.88579327451788,6.655925680388189
yellow_trip_hourly,62,history,history_65_128,1475,1.211991878768145,1.2334839246232632,-0.021492045855118058,7.532438163168711,7.9327869660278285,-0.40034880291165437,0.5511864406779661,0.4488135593220339,0.0,1.0,1.0,11.408148662437826,0.4408178453374717,0.42102232575416565,0.5019662976264954,0.038666094633734834,0.6568488500279895,0.6347343650788574,0.018463338954468906,-0.09903357008282664,0.09967270093733224,-0.06170614456726333,-0.1608020294318765,0.19133145251516567,2.7445287688724838,2.8165203649233264,-0.0719915960508426,-1.742385565477253
yellow_trip_hourly,62,history,history_gt_128,5552,53.9086715639797,59.30020821861042,-5.391536654630724,22961.63303441128,28897.671753461047,-5936.038717958978,0.5688040345821326,0.4311959654178674,0.0,1.0,1.0,11.974838498432286,0.26335582897330095,0.23518387973308563,0.3959430456161499,0.025104327799325612,0.39173607471243344,0.3624111571488768,0.022210554311371353,-0.005576332384661818,0.05644583744567882,0.0012876807419470477,14.162733535902301,14.424881328809846,151.53096394602417,169.99315207813828,-18.462188132114107,-9.091935452831475
yellow_trip_hourly,62,history,history_le_64,1241,0.4503708665261434,0.4995571995914991,-0.04918633306535572,0.7588171906759408,0.7025020806525808,0.05631510998605691,0.7026591458501209,0.29734085414987915,0.0,1.0,1.0,16.45343072984989,0.5013251260439299,0.5019662976264954,0.5019662976264954,0.03152138038142903,0.7551590188389147,0.6767277760096465,0.07320524280249928,-0.11129984168349304,0.11129984168349304,-0.0603551862222547,-0.13330547536793108,0.13330547536793108,0.8711011368813272,0.8381539719243599,0.032947164956967256,-9.845986226517537
yellow_trip_hourly,62,overall,overall,8268,36.483737637851625,40.11539614214289,-3.631658504291266,15420.299787793387,19406.440038833178,-3986.1402503073355,0.585752298016449,0.41424770198355104,0.0,1.0,1.0,12.545963976310542,0.3307332324326384,0.3959430456161499,0.5019662976264954,0.028486907423798755,0.49358044061124917,0.4581711542101899,0.029196193615442307,-0.03811773304318173,0.07239085956823763,-0.019202726881862784,9.461645077768015,9.740516101226866,124.17849970020329,139.30699924567028,-15.128499545466994,-9.0530291447778
yellow_trip_hourly,62,quantity,gt_p99,79,640.9284420737737,811.3785570361946,-170.45011496242088,564304.844477062,827428.5322167119,-263123.6877225079,0.9746835443037974,0.02531645569620253,0.0,1.0,1.0,26.445230097710333,0.23518387973308563,0.23518387973308563,0.23518387973308563,0.008898740575377699,0.6511637840089919,0.5924305221702479,0.04165908807440649,0.05050228536128998,0.05050228536128998,0.050487880465350576,180.59023313884492,180.59023313884492,751.2022660223157,909.6309868384607,-158.42872081614496,-21.007470986790857
yellow_trip_hourly,62,quantity,le_p50,4364,1.4664546576500157,1.506682222789302,-0.04022756513928624,13.127131427447706,12.48364956629096,0.6434818609871289,0.6040329972502292,0.39596700274977087,0.0,1.0,1.0,12.0683146441999,0.43197459545358674,0.4151546061038971,0.5019662976264954,0.037125242254496184,0.6240999006002964,0.5874058960597215,0.0323443730463343,-0.09621480277306083,0.09716345248464058,-0.061197113078411955,-0.19462321293015308,0.22341743513163245,3.6231383395404193,3.533220848785278,0.08991749075514122,-2.669943570769253
yellow_trip_hourly,62,quantity,p50_p90,3138,26.34899030056936,26.293114997384805,0.05587530318455304,3008.523040617979,2814.7098031356963,193.81323738732877,0.5280433397068196,0.4719566602931804,0.0,1.0,1.0,10.746463815295218,0.21326143381709958,0.23518387973308563,0.3959430456161499,0.0208648797703362,0.27986816245376345,0.2514330471312025,0.02204626915030243,0.021045006983385198,0.04328284565980532,0.02219330764941306,4.707225533068142,4.8606277745646835,54.85000492814908,53.053838721959565,1.7961662061895183,0.21250925647307506
yellow_trip_hourly,62,quantity,p90_p95,386,175.1396650403275,181.19404151402608,-6.054376473698591,54734.44799730753,56639.480052365616,-1905.0320673730089,0.6321243523316062,0.36787564766839376,0.0,1.0,1.0,20.80444591897757,0.23518387973308563,0.23518387973308563,0.23518387973308563,0.011350936811282228,0.6110957948963877,0.5556795478175959,0.03970543383934337,0.05050228536128998,0.05050228536128998,0.0504446906746978,48.98821136000243,48.98821136000243,233.9539441798482,237.99050412225614,-4.0365599424079335,-3.3413772456915622
