dataset,seed,scope_type,scope,prototype_id,event_count,selection_count,selection_share,event_hit_share,rank1_count,rank1_share,selected_similarity_mean,prototype_used
insta_market_basket,42,quantity,gt_p99,24,6036,5317,0.22022034459907222,0.8808813783962889,26,0.004307488402915839,0.526457862967395,true
insta_market_basket,42,quantity,gt_p99,25,6036,25,0.001035453943008615,0.00414181577203446,10,0.0016567263088137839,0.4718181383609772,true
insta_market_basket,42,quantity,gt_p99,26,6036,10,0.00041418157720344597,0.0016567263088137839,0,0.0,0.4203267186880112,true
insta_market_basket,42,quantity,gt_p99,27,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,28,6036,14,0.0005798542080848244,0.0023194168323392977,1,0.0001656726308813784,0.47576366790703367,true
insta_market_basket,42,quantity,gt_p99,29,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,30,6036,16,0.0006626905235255136,0.0026507620941020544,2,0.0003313452617627568,0.3024656483903527,true
insta_market_basket,42,quantity,gt_p99,31,6036,294,0.012176938369781311,0.048707753479125246,20,0.0033134526176275677,0.3774570090075334,true
insta_market_basket,42,quantity,gt_p99,32,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,33,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,34,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,35,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,36,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,37,6036,213,0.0088220675944334,0.0352882703777336,68,0.01126573889993373,0.501684458462845,true
insta_market_basket,42,quantity,gt_p99,38,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,39,6036,182,0.007538104705102717,0.030152418820410868,29,0.004804506295559973,0.549050971374407,true
insta_market_basket,42,quantity,gt_p99,40,6036,678,0.02808151093439364,0.11232604373757456,323,0.053512259774685225,0.4195582734800018,true
insta_market_basket,42,quantity,gt_p99,41,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,42,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,43,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,44,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,45,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,46,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,47,6036,2584,0.10702451954937045,0.4280980781974818,35,0.005798542080848244,0.5483709926004795,true
insta_market_basket,42,quantity,gt_p99,48,6036,3,0.00012425447316103378,0.0004970178926441351,0,0.0,0.36253265539805096,true
insta_market_basket,42,quantity,gt_p99,49,6036,4841,0.20050530152418822,0.8020212060967529,355,0.05881378396288933,0.5301438131037022,true
insta_market_basket,42,quantity,gt_p99,50,6036,358,0.014827700463883367,0.05931080185553347,102,0.016898608349900597,0.5125819061721504,true
insta_market_basket,42,quantity,gt_p99,51,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,52,6036,3374,0.13974486414844267,0.5589794565937707,357,0.059145129224652086,0.48566743027513803,true
insta_market_basket,42,quantity,gt_p99,53,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,54,6036,21,0.0008697813121272366,0.0034791252485089465,0,0.0,0.3229996342034567,true
insta_market_basket,42,quantity,gt_p99,55,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,56,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,57,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,58,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,59,6036,1,0.0000414181577203446,0.0001656726308813784,0,0.0,0.13030855357646942,true
insta_market_basket,42,quantity,gt_p99,60,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,61,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,62,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,63,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,le_p50,0,247651,1330,0.0013426152125369977,0.005370460850147991,16,0.00006460704782132921,0.2411746984911834,true
insta_market_basket,42,quantity,le_p50,1,247651,169,0.00017060298565319744,0.0006824119426127898,45,0.0001817073219974884,0.09018791309248218,true
insta_market_basket,42,quantity,le_p50,2,247651,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,le_p50,3,247651,205631,0.20758143516480854,0.8303257406592341,61790,0.24950434280499573,0.4258295613105774,true
insta_market_basket,42,quantity,le_p50,4,247651,99,0.00009993902709861862,0.00039975610839447447,8,0.000032303523910664606,0.05275987561632211,true
insta_market_basket,42,quantity,le_p50,5,247651,1583,0.0015980149484556897,0.006392059793822759,5,0.000020189702444165378,0.23073386258306283,true
insta_market_basket,42,quantity,le_p50,6,247651,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,le_p50,7,247651,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,le_p50,8,247651,15,0.000015142276833124033,0.00006056910733249613,0,0.0,0.09711840910216173,true
insta_market_basket,42,quantity,le_p50,9,247651,85,0.00008580623538770286,0.00034322494155081143,5,0.000020189702444165378,0.21461566520909614,true
insta_market_basket,42,quantity,le_p50,10,247651,564,0.0005693496089254637,0.0022773984357018547,81,0.0003270731795954791,0.3405110427634196,true
insta_market_basket,42,quantity,le_p50,11,247651,7,7.066395855457882e-6,0.000028265583421831528,0,0.0,0.0022059367703539984,true
insta_market_basket,42,quantity,le_p50,12,247651,3,3.0284553666248066e-6,0.000012113821466499227,0,0.0,0.12768745313708982,true
insta_market_basket,42,quantity,le_p50,13,247651,117,0.00011810975929836746,0.00047243903719346983,17,0.00006864498831016228,0.19619016799056888,true
insta_market_basket,42,quantity,le_p50,14,247651,5,5.0474256110413445e-6,0.000020189702444165378,0,0.0,-0.016727607720531522,true
insta_market_basket,42,quantity,le_p50,15,247651,270,0.0002725609829962326,0.0010902439319849305,1,4.037940488833076e-6,0.32787971993287407,true
insta_market_basket,42,quantity,le_p50,16,247651,405,0.0004088414744943489,0.0016353658979773955,32,0.00012921409564265843,0.05131296187937102,true
insta_market_basket,42,quantity,le_p50,17,247651,2249,0.002270332039846397,0.009081328159385588,596,0.002406612531344513,0.22718163031088057,true
insta_market_basket,42,quantity,le_p50,18,247651,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,le_p50,19,247651,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,le_p50,20,247651,3,3.0284553666248066e-6,0.000012113821466499227,0,0.0,-0.08933659518758456,true
insta_market_basket,42,quantity,le_p50,21,247651,2,2.018970244416538e-6,8.075880977666152e-6,0,0.0,0.3162442743778229,true
insta_market_basket,42,quantity,le_p50,22,247651,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,le_p50,23,247651,347,0.0003502913374062693,0.0014011653496250772,12,0.000048455285865996906,0.38745130538425115,true
insta_market_basket,42,quantity,le_p50,24,247651,75895,0.07661487334999657,0.3064594933999863,1026,0.004142926941542735,0.4451336958938957,true
insta_market_basket,42,quantity,le_p50,25,247651,39387,0.039760590508417085,0.15904236203366834,4283,0.017294499113672063,0.3678734673471915,true
insta_market_basket,42,quantity,le_p50,26,247651,301,0.0003038550217846889,0.0012154200871387557,23,0.00009287263124316074,0.3530141187961711,true
insta_market_basket,42,quantity,le_p50,27,247651,1,1.009485122208269e-6,4.037940488833076e-6,0,0.0,-0.1361391395330429,true
insta_market_basket,42,quantity,le_p50,28,247651,784,0.0007914363358112828,0.0031657453432451313,176,0.0007106775260346213,0.3281563867124959,true
insta_market_basket,42,quantity,le_p50,29,247651,3,3.0284553666248066e-6,0.000012113821466499227,0,0.0,0.2621476352214813,true
