dataset,selector,cell,scope,role,count,joint_objective,log_qty_mse,qty_mae,qty_rmse,time_nll
yellow_trip_hourly,joint,linear_log_mse,history_65_128,baseline,1475,1.6755535323863362,0.15672633269288264,1.3479892139919734,3.363331826930227,1.5188271996934535
yellow_trip_hourly,joint,linear_log_mse,history_65_128,candidate,1475,1.6670331991144411,0.14820599942098772,1.2842676400330106,3.1544142945358353,1.5188271996934535
yellow_trip_hourly,joint,linear_log_mse,history_gt_128,baseline,5552,1.2725678495421988,0.22757330577671778,76.61825772946008,221.5277390919997,1.044994543765481
yellow_trip_hourly,joint,linear_log_mse,history_gt_128,candidate,5552,1.268275677890177,0.22328113412469594,58.83770412788525,159.19904974338667,1.044994543765481
yellow_trip_hourly,joint,linear_log_mse,history_le_64,baseline,1241,2.6926021507871964,0.06926174169122291,0.5179498015057167,0.8330240860310215,2.6233404090959733
yellow_trip_hourly,joint,linear_log_mse,history_le_64,candidate,1241,2.6897201186473447,0.06637970955137144,0.5300543093085769,0.8272569524163261,2.6233404090959733
yellow_trip_hourly,joint,linear_log_mse,le_p50,baseline,4364,1.9101973766795286,0.19956998968942363,1.3940361191328243,2.985568659530647,1.710627386990105
yellow_trip_hourly,joint,linear_log_mse,le_p50,candidate,4364,1.9088481575279337,0.19822077053782874,1.4130312717638356,3.1624979484540767,1.710627386990105
yellow_trip_hourly,joint,linear_log_mse,overall,baseline,8268,1.5576024951687282,0.1911722491331818,51.767734241445226,181.53760165479204,1.3664302460355464
yellow_trip_hourly,joint,linear_log_mse,overall,candidate,8268,1.5527676825795174,0.18633743654397086,39.81845978285935,130.46346967050908,1.3664302460355464
yellow_trip_hourly,joint,linear_log_mse,p50_p90,baseline,3138,1.1835635593476028,0.2009468643817905,29.040303251255537,57.79490369416977,0.9826166949658124
yellow_trip_hourly,joint,linear_log_mse,p50_p90,candidate,3138,1.1829178746836289,0.20030117971781644,31.433023429737492,67.26145171245092,0.9826166949658124
yellow_trip_hourly,joint,linear_log_mse,p90_p95,baseline,386,1.0828745545139982,0.10499748411052855,221.5866925333448,275.9644557378366,0.9778770704034696
yellow_trip_hourly,joint,linear_log_mse,p90_p95,candidate,386,1.0565032612226206,0.07862619081915108,205.5264364450089,273.5482270669794,0.9778770704034696
yellow_trip_hourly,joint,linear_log_mse,p95_p99,baseline,301,1.0769984783933704,0.09922393239747428,508.75349583419853,603.4106053930429,0.9777745459958961
yellow_trip_hourly,joint,linear_log_mse,p95_p99,candidate,301,1.025652216405702,0.04787767040980601,330.32903626907705,443.27320031550926,0.9777745459958961
yellow_trip_hourly,joint,linear_log_mse,tail_gt_p95,baseline,380,1.0793264498694748,0.10154850403099844,645.4503109580592,782.3083565444399,0.9777779458384764
yellow_trip_hourly,joint,linear_log_mse,tail_gt_p95,candidate,380,1.0217455013852295,0.043967555546753016,381.79611848530016,506.8041103631108,0.9777779458384764
yellow_trip_hourly,body,linear_log_mse,body_le_p95,baseline,7888,1.580643176867957,0.19548982306429638,23.167407269833294,71.13696448202782,1.3851533538036607
yellow_trip_hourly,body,linear_log_mse,body_le_p95,candidate,7888,1.5813374821312631,0.19618412832760254,22.65547719656756,70.6601609788398,1.3851533538036607
yellow_trip_hourly,body,linear_log_mse,gt_p99,baseline,79,1.0881963158733672,0.11040541620429935,1166.282479974288,1247.6154806872075,0.9777908996690677
yellow_trip_hourly,body,linear_log_mse,gt_p99,candidate,79,1.0268822183687674,0.04909131869969971,768.1415768393987,879.2507689724345,0.9777908996690677
yellow_trip_hourly,body,linear_log_mse,history_65_128,baseline,1475,1.6755535323863362,0.15672633269288264,1.3479892139919734,3.363331826930227,1.5188271996934535
yellow_trip_hourly,body,linear_log_mse,history_65_128,candidate,1475,1.6679466042681428,0.1491194045746894,1.3013034991894739,3.1908470682293797,1.5188271996934535
yellow_trip_hourly,body,linear_log_mse,history_gt_128,baseline,5552,1.2725678495421988,0.22757330577671778,76.61825772946008,221.5277390919997,1.044994543765481
yellow_trip_hourly,body,linear_log_mse,history_gt_128,candidate,5552,1.2731827543104435,0.22818821054496238,63.06508644696014,175.37075818328304,1.044994543765481
yellow_trip_hourly,body,linear_log_mse,history_le_64,baseline,1241,2.6926021507871964,0.06926174169122291,0.5179498015057167,0.8330240860310215,2.6233404090959733
yellow_trip_hourly,body,linear_log_mse,history_le_64,candidate,1241,2.690110739880572,0.06677033078459865,0.5369151468530573,0.8258878607534227,2.6233404090959733
yellow_trip_hourly,body,linear_log_mse,le_p50,baseline,4364,1.9101973766795286,0.19956998968942363,1.3940361191328243,2.985568659530647,1.710627386990105
yellow_trip_hourly,body,linear_log_mse,le_p50,candidate,4364,1.920871110630984,0.21024372364087887,1.473688849662008,3.1553431307951225,1.710627386990105
yellow_trip_hourly,body,linear_log_mse,overall,baseline,8268,1.5576024951687282,0.1911722491331818,51.767734241445226,181.53760165479204,1.3664302460355464
yellow_trip_hourly,body,linear_log_mse,overall,candidate,8268,1.556284388169942,0.18985414213439558,42.66123540299378,143.71491691668697,1.3664302460355464
